Distillation:  15%|███████                                        | 1499/10000 [18:24<1:44:07,  1.36it/s, align=0.7373, distill=5.9808, loss=15.7307]
Step 7350 | Loss: 446.6705 | L_distill: 311.9119 | L_align: 0.8975 | L_KL: 1257.8381
Step 7400 | Loss: 12.7666 | L_distill: 2.1319 | L_align: 0.9750 | L_KL: 8.8510
Step 7450 | Loss: 10.8052 | L_distill: 0.9687 | L_align: 0.9439 | L_KL: 3.9721
Step 7500 | Loss: 12.6885 | L_distill: 2.4976 | L_align: 0.9682 | L_KL: 5.0863
Saved checkpoints to checkpoints/distill_e2e
Step 7550 | Loss: 112.7574 | L_distill: 74.3978 | L_align: 0.6687 | L_KL: 316.7230
Step 7600 | Loss: 339.9651 | L_distill: 232.2605 | L_align: 0.8790 | L_KL: 989.1416
Step 7650 | Loss: 1416.5194 | L_distill: 995.1486 | L_align: 0.7305 | L_KL: 4140.6562
Step 7700 | Loss: 11.7323 | L_distill: 3.9716 | L_align: 0.6199 | L_KL: 15.6195
Step 7750 | Loss: 9.3629 | L_distill: 1.5319 | L_align: 0.7240 | L_KL: 5.9102
Step 7800 | Loss: 254.7994 | L_distill: 176.1656 | L_align: 0.9084 | L_KL: 695.4978
Step 7850 | Loss: 11.1407 | L_distill: 3.4749 | L_align: 0.6359 | L_KL: 13.0719
Step 7900 | Loss: 195.5834 | L_distill: 135.8989 | L_align: 0.7897 | L_KL: 517.8708
Step 7950 | Loss: 6.8706 | L_distill: 0.5274 | L_align: 0.6126 | L_KL: 2.1757
Step 8000 | Loss: 45.8974 | L_distill: 28.3739 | L_align: 0.6041 | L_KL: 114.8234
Saved checkpoints to checkpoints/distill_e2e
Step 8050 | Loss: 965.7736 | L_distill: 657.2837 | L_align: 0.7678 | L_KL: 3008.1157
Step 8100 | Loss: 14.1325 | L_distill: 3.4721 | L_align: 0.9077 | L_KL: 15.8318
Step 8150 | Loss: 10.7638 | L_distill: 1.8357 | L_align: 0.8184 | L_KL: 7.4436
Step 8200 | Loss: 9.3118 | L_distill: 1.0475 | L_align: 0.7850 | L_KL: 4.1386
Step 8250 | Loss: 47.4266 | L_distill: 27.5478 | L_align: 0.8689 | L_KL: 111.8951
Step 8300 | Loss: 10.0466 | L_distill: 2.4053 | L_align: 0.6731 | L_KL: 9.1058
Step 8350 | Loss: 12.4517 | L_distill: 3.2158 | L_align: 0.7390 | L_KL: 18.4560
Step 8400 | Loss: 750.8921 | L_distill: 478.3591 | L_align: 0.8905 | L_KL: 2636.2795
Step 8450 | Loss: 313.2763 | L_distill: 216.3376 | L_align: 0.9547 | L_KL: 873.9119
Step 8500 | Loss: 57.5630 | L_distill: 35.5286 | L_align: 0.6978 | L_KL: 150.5610
Saved checkpoints to checkpoints/distill_e2e
Step 8550 | Loss: 8.7390 | L_distill: 0.9517 | L_align: 0.7430 | L_KL: 3.5746
Step 8600 | Loss: 12.2640 | L_distill: 3.1417 | L_align: 0.7875 | L_KL: 12.4769
Step 8650 | Loss: 15.3980 | L_distill: 4.4959 | L_align: 0.9075 | L_KL: 18.2658
Step 8700 | Loss: 481.3921 | L_distill: 333.6384 | L_align: 0.7333 | L_KL: 1404.2021
Step 8750 | Loss: 10.2090 | L_distill: 2.0744 | L_align: 0.7356 | L_KL: 7.7817
Step 8800 | Loss: 1730.3689 | L_distill: 1217.0627 | L_align: 0.7537 | L_KL: 5057.6953
Step 8850 | Loss: 9.0097 | L_distill: 1.6727 | L_align: 0.6640 | L_KL: 6.9648
Step 8900 | Loss: 11.3916 | L_distill: 0.6315 | L_align: 1.0484 | L_KL: 2.7660
Step 8950 | Loss: 51.1785 | L_distill: 30.1359 | L_align: 0.8571 | L_KL: 124.7133
Step 9000 | Loss: 988.2654 | L_distill: 695.0996 | L_align: 0.7938 | L_KL: 2852.2766
Saved checkpoints to checkpoints/distill_e2e
Step 9050 | Loss: 10.4205 | L_distill: 1.0543 | L_align: 0.8939 | L_KL: 4.2751
Step 9100 | Loss: 223.8956 | L_distill: 155.1060 | L_align: 0.7476 | L_KL: 613.1378
Step 9150 | Loss: 11.3883 | L_distill: 2.2160 | L_align: 0.8317 | L_KL: 8.5540
Step 9200 | Loss: 829.2167 | L_distill: 556.5122 | L_align: 0.7886 | L_KL: 2648.1880
Step 9250 | Loss: 88.1653 | L_distill: 50.4036 | L_align: 0.9192 | L_KL: 285.6976
Step 9300 | Loss: 9.2042 | L_distill: 0.8514 | L_align: 0.8026 | L_KL: 3.2671
Step 9350 | Loss: 10.3311 | L_distill: 0.4223 | L_align: 0.9733 | L_KL: 1.7616
Step 9400 | Loss: 177.9619 | L_distill: 119.5833 | L_align: 0.8411 | L_KL: 499.6743
Step 9450 | Loss: 17.4265 | L_distill: 5.8999 | L_align: 0.9291 | L_KL: 22.3604
Step 9500 | Loss: 10.1320 | L_distill: 1.3670 | L_align: 0.8255 | L_KL: 5.1014
Saved checkpoints to checkpoints/distill_e2e
Step 9550 | Loss: 12.7808 | L_distill: 1.1488 | L_align: 1.1170 | L_KL: 4.6161
Step 9600 | Loss: 477.8627 | L_distill: 322.9380 | L_align: 0.5383 | L_KL: 1495.4210
Step 9650 | Loss: 14.0970 | L_distill: 3.0244 | L_align: 0.9895 | L_KL: 11.7715
Step 9700 | Loss: 9.6932 | L_distill: 0.4522 | L_align: 0.9050 | L_KL: 1.9062
Step 9750 | Loss: 228.5868 | L_distill: 155.2288 | L_align: 0.7323 | L_KL: 660.3475
Step 9800 | Loss: 10.7692 | L_distill: 2.1753 | L_align: 0.7746 | L_KL: 8.4779
Step 9850 | Loss: 27.1710 | L_distill: 12.5003 | L_align: 0.8124 | L_KL: 65.4663
Step 9900 | Loss: 26.9367 | L_distill: 13.9379 | L_align: 0.6875 | L_KL: 61.2406
Step 9950 | Loss: 777.3791 | L_distill: 542.6172 | L_align: 0.8991 | L_KL: 2257.7070
Step 10000 | Loss: 34.5157 | L_distill: 18.2070 | L_align: 0.8844 | L_KL: 74.6462
Saved checkpoints to checkpoints/distill_e2e
Training complete.
