Distillation:  15%|█▍        | 1499/10000 [43:34<4:06:44,  1.74s/it, align=0.7418, distill=6.0618, loss=8.4256]        
Step 6450 | Loss: 460.8423 | L_distill: 315.9943 | L_align: 1.0250 | L_KL: 1448.4796
Step 6500 | Loss: 6.1069 | L_distill: 4.4844 | L_align: 0.9018 | L_KL: 16.2244
Saved checkpoints to checkpoints/distill_e2e
Step 6550 | Loss: 68.2446 | L_distill: 46.1860 | L_align: 1.1389 | L_KL: 220.5859
Step 6600 | Loss: 1.1335 | L_distill: 0.7902 | L_align: 1.0407 | L_KL: 3.4334
Step 6650 | Loss: 1110.9390 | L_distill: 761.7581 | L_align: 1.0720 | L_KL: 3491.8091
Step 6700 | Loss: 0.9718 | L_distill: 0.6921 | L_align: 0.9096 | L_KL: 2.7971
Step 6750 | Loss: 19.3407 | L_distill: 13.3703 | L_align: 0.7224 | L_KL: 59.7032
Step 6800 | Loss: 1063.8748 | L_distill: 742.1823 | L_align: 0.9396 | L_KL: 3216.9243
Step 6850 | Loss: 4.1034 | L_distill: 2.9416 | L_align: 0.7464 | L_KL: 11.6179
Step 6900 | Loss: 1039.4641 | L_distill: 710.9902 | L_align: 1.2289 | L_KL: 3284.7393
Step 6950 | Loss: 51.1736 | L_distill: 31.9900 | L_align: 0.8299 | L_KL: 191.8360
Step 7000 | Loss: 636.0614 | L_distill: 445.7978 | L_align: 0.9755 | L_KL: 1902.6357
Saved checkpoints to checkpoints/distill_e2e
Step 7050 | Loss: 3.6965 | L_distill: 2.4919 | L_align: 1.0978 | L_KL: 12.0458
Step 7100 | Loss: 2.6892 | L_distill: 1.9327 | L_align: 1.1507 | L_KL: 7.5649
Step 7150 | Loss: 574.0672 | L_distill: 395.5571 | L_align: 1.0165 | L_KL: 1785.1011
Step 7200 | Loss: 65.5477 | L_distill: 44.0917 | L_align: 0.9775 | L_KL: 214.5598
Step 7250 | Loss: 1291.0638 | L_distill: 916.7119 | L_align: 0.7638 | L_KL: 3743.5203
Step 7300 | Loss: 1.6580 | L_distill: 1.2379 | L_align: 1.0526 | L_KL: 4.2012
Step 7350 | Loss: 150.2579 | L_distill: 107.2790 | L_align: 1.0441 | L_KL: 429.7890
Step 7400 | Loss: 4.0960 | L_distill: 2.9337 | L_align: 0.9376 | L_KL: 11.6234
Step 7450 | Loss: 1.0425 | L_distill: 0.7379 | L_align: 0.9448 | L_KL: 3.0456
Step 7500 | Loss: 145.5449 | L_distill: 89.1411 | L_align: 1.1523 | L_KL: 564.0378
Saved checkpoints to checkpoints/distill_e2e
Step 7550 | Loss: 4.8181 | L_distill: 2.8645 | L_align: 0.8650 | L_KL: 19.5360
Step 7600 | Loss: 1831.9829 | L_distill: 1295.5709 | L_align: 1.0350 | L_KL: 5364.1191
Step 7650 | Loss: 19.9654 | L_distill: 14.3765 | L_align: 0.8756 | L_KL: 55.8884
Step 7700 | Loss: 275.8322 | L_distill: 199.0351 | L_align: 0.7224 | L_KL: 767.9717
Step 7750 | Loss: 128.4674 | L_distill: 84.7527 | L_align: 0.7659 | L_KL: 437.1475
Step 7800 | Loss: 185.4566 | L_distill: 135.2055 | L_align: 0.9989 | L_KL: 502.5107
Step 7850 | Loss: 38.2254 | L_distill: 24.8839 | L_align: 0.9822 | L_KL: 133.4144
Step 7900 | Loss: 0.6967 | L_distill: 0.5035 | L_align: 0.8891 | L_KL: 1.9322
Step 7950 | Loss: 14.0549 | L_distill: 9.9868 | L_align: 0.6251 | L_KL: 40.6818
Step 8000 | Loss: 1.9095 | L_distill: 1.3529 | L_align: 0.7797 | L_KL: 5.5660
Saved checkpoints to checkpoints/distill_e2e
Step 8050 | Loss: 0.6813 | L_distill: 0.4907 | L_align: 0.8818 | L_KL: 1.9054
Step 8100 | Loss: 134.2040 | L_distill: 92.4724 | L_align: 1.0234 | L_KL: 417.3164
Step 8150 | Loss: 376.6924 | L_distill: 269.0535 | L_align: 1.1580 | L_KL: 1076.3884
Step 8200 | Loss: 318.7275 | L_distill: 222.4728 | L_align: 0.9093 | L_KL: 962.5469
